Confirmado,Mortes,Mortalidade,Capital,Atualizado,Created
603,32,"5,31%",Porto Alegre-RS,25/05/2020,26/05/2020 - 11:05:51:251
3135,85,"2,71%",Rio Branco-AC,25/05/2020,26/05/2020 - 11:05:51:892
3848,213,"5,54%",Maceió-AL,25/05/2020,26/05/2020 - 11:05:53:467
13881,1182,"8,52%",Manaus-AM,24/05/2020,26/05/2020 - 11:05:54:211
3615,98,"2,71%",Macapá-AP,25/05/2020,26/05/2020 - 11:05:54:691
8613,303,"3,52%",Salvador-BA,24/05/2020,26/05/2020 - 11:05:55:225
20146,1687,"8,37%",Fortaleza-CE,25/05/2020,26/05/2020 - 11:05:55:698
5902,98,"1,66%",Brasília-DF,24/05/2020,26/05/2020 - 11:05:56:120
1836,76,"4,14%",Vitória-ES,24/05/2020,26/05/2020 - 11:05:56:535
1200,41,"3,42%",Goiânia-GO,25/05/2020,26/05/2020 - 11:05:57:202
8068,497,"6,16%",São Luís-MA,25/05/2020,26/05/2020 - 11:05:57:728
1444,42,"2,91%",Belo Horizonte-MG,25/05/2020,26/05/2020 - 11:05:58:210
245,6,"2,45%",Campo Grande-MS,24/05/2020,26/05/2020 - 11:05:58:627
518,7,"1,35%",Cuiabá-MT,25/05/2020,26/05/2020 - 11:05:59:69
9867,1155,"11,71%",Belém-PA,25/05/2020,26/05/2020 - 11:05:59:528
2687,98,"3,65%",João Pessoa-PB,25/05/2020,26/05/2020 - 11:05:00:220
12924,835,"6,46%",Recife-PE,25/05/2020,26/05/2020 - 11:05:00:635
1821,57,"3,13%",Teresina-PI,25/05/2020,26/05/2020 - 11:05:01:76
778,36,"4,63%",Curitiba-PR,24/05/2020,26/05/2020 - 11:05:01:748
22466,2831,"12,60%",Rio de Janeiro-RJ,25/05/2020,26/05/2020 - 11:05:02:458
1895,64,"3,38%",Natal-RN,24/05/2020,26/05/2020 - 11:05:02:914
2335,76,"3,25%",Porto Velho-RO,23/05/2020,26/05/2020 - 11:05:03:378
1996,73,"3,66%",Boa Vista-RR,25/05/2020,26/05/2020 - 11:05:03:801
628,7,"1,11%",Florianópolis-SC,25/05/2020,26/05/2020 - 11:05:04:261
3239,48,"1,48%",Aracaju-SE,25/05/2020,26/05/2020 - 11:05:04:892
46204,3555,"7,69%",São Paulo-SP,25/05/2020,26/05/2020 - 11:05:05:460
6,0,"0,00%",Palmas-TO,25/05/2020,26/05/2020 - 11:05:05:974
603,32,"5,31%",Porto Alegre-RS,26/05/2020,27/05/2020 - 11:05:57:931
3135,85,"2,71%",Rio Branco-AC,25/05/2020,27/05/2020 - 11:05:58:742
4064,223,"5,49%",Maceió-AL,26/05/2020,27/05/2020 - 11:05:00:227
13881,1182,"8,52%",Manaus-AM,24/05/2020,27/05/2020 - 11:05:00:868
3674,101,"2,75%",Macapá-AP,26/05/2020,27/05/2020 - 11:05:01:508
8860,314,"3,54%",Salvador-BA,25/05/2020,27/05/2020 - 11:05:02:230
20146,1687,"8,37%",Fortaleza-CE,25/05/2020,27/05/2020 - 11:05:02:869
6451,114,"1,77%",Brasília-DF,26/05/2020,27/05/2020 - 11:05:03:271
1896,78,"4,11%",Vitória-ES,25/05/2020,27/05/2020 - 11:05:03:762
1307,44,"3,37%",Goiânia-GO,26/05/2020,27/05/2020 - 11:05:04:212
8068,497,"6,16%",São Luís-MA,25/05/2020,27/05/2020 - 11:05:04:739
1444,42,"2,91%",Belo Horizonte-MG,25/05/2020,27/05/2020 - 11:05:05:466
249,6,"2,41%",Campo Grande-MS,25/05/2020,27/05/2020 - 11:05:05:853
564,7,"1,24%",Cuiabá-MT,26/05/2020,27/05/2020 - 11:05:06:569
9867,1155,"11,71%",Belém-PA,25/05/2020,27/05/2020 - 11:05:07:219
2687,98,"3,65%",João Pessoa-PB,25/05/2020,27/05/2020 - 11:05:07:725
13549,865,"6,38%",Recife-PE,26/05/2020,27/05/2020 - 11:05:08:179
1890,66,"3,49%",Teresina-PI,26/05/2020,27/05/2020 - 11:05:08:630
790,36,"4,56%",Curitiba-PR,25/05/2020,27/05/2020 - 11:05:09:97
22466,2831,"12,60%",Rio de Janeiro-RJ,25/05/2020,27/05/2020 - 11:05:09:678
2169,66,"3,04%",Natal-RN,25/05/2020,27/05/2020 - 11:05:10:159
2444,79,"3,23%",Porto Velho-RO,25/05/2020,27/05/2020 - 11:05:10:605
1996,73,"3,66%",Boa Vista-RR,25/05/2020,27/05/2020 - 11:05:11:206
622,7,"1,13%",Florianópolis-SC,26/05/2020,27/05/2020 - 11:05:11:726
3239,48,"1,48%",Aracaju-SE,25/05/2020,27/05/2020 - 11:05:12:163
47554,3691,"7,76%",São Paulo-SP,26/05/2020,27/05/2020 - 11:05:12:725
425,6,"1,41%",Palmas-TO,26/05/2020,27/05/2020 - 11:05:13:480
603,32,"5,31%",Porto Alegre-RS,27/05/2020,28/05/2020 - 11:05:59:927
3135,85,"2,71%",Rio Branco-AC,25/05/2020,28/05/2020 - 11:05:00:547
4358,230,"5,28%",Maceió-AL,27/05/2020,28/05/2020 - 11:05:02:86
13881,1182,"8,52%",Manaus-AM,24/05/2020,28/05/2020 - 11:05:02:594
3968,108,"2,72%",Macapá-AP,27/05/2020,28/05/2020 - 11:05:03:130
9094,328,"3,61%",Salvador-BA,26/05/2020,28/05/2020 - 11:05:03:633
20789,1769,"8,51%",Fortaleza-CE,26/05/2020,28/05/2020 - 11:05:04:195
6979,123,"1,76%",Brasília-DF,27/05/2020,28/05/2020 - 11:05:04:618
1896,78,"4,11%",Vitória-ES,25/05/2020,28/05/2020 - 11:05:05:55
1393,44,"3,16%",Goiânia-GO,27/05/2020,28/05/2020 - 11:05:05:509
8353,509,"6,09%",São Luís-MA,26/05/2020,28/05/2020 - 11:05:06:56
1613,43,"2,67%",Belo Horizonte-MG,27/05/2020,28/05/2020 - 11:05:06:570
262,6,"2,29%",Campo Grande-MS,26/05/2020,28/05/2020 - 11:05:07:09
612,8,"1,31%",Cuiabá-MT,27/05/2020,28/05/2020 - 11:05:07:437
10614,1195,"11,26%",Belém-PA,27/05/2020,28/05/2020 - 11:05:07:968
2945,100,"3,40%",João Pessoa-PB,26/05/2020,28/05/2020 - 11:05:08:385
13712,902,"6,58%",Recife-PE,27/05/2020,28/05/2020 - 11:05:08:871
1982,69,"3,48%",Teresina-PI,27/05/2020,28/05/2020 - 11:05:09:305
852,37,"4,34%",Curitiba-PR,27/05/2020,28/05/2020 - 11:05:09:727
24750,3135,"12,67%",Rio de Janeiro-RJ,27/05/2020,28/05/2020 - 11:05:10:201
2221,76,"3,42%",Natal-RN,26/05/2020,28/05/2020 - 11:05:10:830
2594,88,"3,39%",Porto Velho-RO,26/05/2020,28/05/2020 - 11:05:11:285
1996,73,"3,66%",Boa Vista-RR,25/05/2020,28/05/2020 - 11:05:11:772
628,7,"1,11%",Florianópolis-SC,27/05/2020,28/05/2020 - 11:05:12:267
3239,48,"1,48%",Aracaju-SE,25/05/2020,28/05/2020 - 11:05:12:721
49264,3826,"7,77%",São Paulo-SP,27/05/2020,28/05/2020 - 11:05:13:313
425,6,"1,41%",Palmas-TO,26/05/2020,28/05/2020 - 11:05:13:779
605,35,"5,79%",Porto Alegre-RS,28/05/2020,29/05/2020 - 11:05:01:610
3135,85,"2,71%",Rio Branco-AC,25/05/2020,29/05/2020 - 11:05:06:378
4589,237,"5,16%",Maceió-AL,28/05/2020,29/05/2020 - 11:05:08:127
14800,1272,"8,59%",Manaus-AM,27/05/2020,29/05/2020 - 11:05:08:615
4294,119,"2,77%",Macapá-AP,28/05/2020,29/05/2020 - 11:05:09:360
9389,357,"3,80%",Salvador-BA,27/05/2020,29/05/2020 - 11:05:10:126
21328,1804,"8,46%",Fortaleza-CE,28/05/2020,29/05/2020 - 11:05:10:739
7490,132,"1,76%",Brasília-DF,28/05/2020,29/05/2020 - 11:05:11:236
2127,82,"3,86%",Vitória-ES,27/05/2020,29/05/2020 - 11:05:11:847
1473,49,"3,33%",Goiânia-GO,28/05/2020,29/05/2020 - 11:05:12:614
8463,517,"6,11%",São Luís-MA,27/05/2020,29/05/2020 - 11:05:13:395
1674,46,"2,75%",Belo Horizonte-MG,28/05/2020,29/05/2020 - 11:05:13:961
265,6,"2,26%",Campo Grande-MS,27/05/2020,29/05/2020 - 11:05:14:527
612,8,"1,31%",Cuiabá-MT,27/05/2020,29/05/2020 - 11:05:15:18
10614,1195,"11,26%",Belém-PA,27/05/2020,29/05/2020 - 11:05:15:617
3232,102,"3,16%",João Pessoa-PB,27/05/2020,29/05/2020 - 11:05:16:107
14086,967,"6,86%",Recife-PE,28/05/2020,29/05/2020 - 11:05:16:596
2067,75,"3,63%",Teresina-PI,28/05/2020,29/05/2020 - 11:05:17:342
904,39,"4,31%",Curitiba-PR,28/05/2020,29/05/2020 - 11:05:18:113
24750,3135,"12,67%",Rio de Janeiro-RJ,27/05/2020,29/05/2020 - 11:05:18:638
2221,76,"3,42%",Natal-RN,26/05/2020,29/05/2020 - 11:05:19:383
2841,91,"3,20%",Porto Velho-RO,27/05/2020,29/05/2020 - 11:05:20:86
1996,73,"3,66%",Boa Vista-RR,25/05/2020,29/05/2020 - 11:05:20:614
641,7,"1,09%",Florianópolis-SC,28/05/2020,29/05/2020 - 11:05:21:101
3492,57,"1,63%",Aracaju-SE,27/05/2020,29/05/2020 - 11:05:21:623
52719,3958,"7,51%",São Paulo-SP,28/05/2020,29/05/2020 - 11:05:22:252
425,6,"1,41%",Palmas-TO,26/05/2020,29/05/2020 - 11:05:22:834
637,34,"5,34%",Porto Alegre-RS,29/05/2020,30/05/2020 - 11:05:59:118
3135,85,"2,71%",Rio Branco-AC,25/05/2020,30/05/2020 - 11:05:59:615
4833,248,"5,13%",Maceió-AL,29/05/2020,30/05/2020 - 11:05:01:79
15769,1314,"8,33%",Manaus-AM,28/05/2020,30/05/2020 - 11:05:01:489
4346,123,"2,83%",Macapá-AP,29/05/2020,30/05/2020 - 11:05:01:858
10353,421,"4,07%",Salvador-BA,29/05/2020,30/05/2020 - 11:05:02:274
21705,1877,"8,65%",Fortaleza-CE,29/05/2020,30/05/2020 - 11:05:02:814
7877,142,"1,80%",Brasília-DF,29/05/2020,30/05/2020 - 11:05:03:217
2318,90,"3,88%",Vitória-ES,29/05/2020,30/05/2020 - 11:05:03:620
1556,49,"3,15%",Goiânia-GO,29/05/2020,30/05/2020 - 11:05:04:15
8882,521,"5,87%",São Luís-MA,29/05/2020,30/05/2020 - 11:05:04:657
1766,48,"2,72%",Belo Horizonte-MG,29/05/2020,30/05/2020 - 11:05:05:248
278,6,"2,16%",Campo Grande-MS,28/05/2020,30/05/2020 - 11:05:05:621
612,8,"1,31%",Cuiabá-MT,27/05/2020,30/05/2020 - 11:05:05:992
11509,1311,"11,39%",Belém-PA,29/05/2020,30/05/2020 - 11:05:06:401
3685,114,"3,09%",João Pessoa-PB,29/05/2020,30/05/2020 - 11:05:06:773
14365,1004,"6,99%",Recife-PE,29/05/2020,30/05/2020 - 11:05:07:173
2157,83,"3,85%",Teresina-PI,29/05/2020,30/05/2020 - 11:05:07:536
921,42,"4,56%",Curitiba-PR,29/05/2020,30/05/2020 - 11:05:07:930
25974,3293,"12,68%",Rio de Janeiro-RJ,28/05/2020,30/05/2020 - 11:05:08:345
2576,85,"3,30%",Natal-RN,28/05/2020,30/05/2020 - 11:05:09:58
3245,99,"3,05%",Porto Velho-RO,29/05/2020,30/05/2020 - 11:05:09:410
1996,73,"3,66%",Boa Vista-RR,25/05/2020,30/05/2020 - 11:05:09:767
641,7,"1,09%",Florianópolis-SC,28/05/2020,30/05/2020 - 11:05:10:136
3492,57,"1,63%",Aracaju-SE,27/05/2020,30/05/2020 - 11:05:10:518
55741,4116,"7,38%",São Paulo-SP,29/05/2020,30/05/2020 - 11:05:11:33
425,6,"1,41%",Palmas-TO,26/05/2020,30/05/2020 - 11:05:11:433
731,34,"4,65%",Porto Alegre-RS,30/05/2020,31/05/2020 - 11:05:01:577
3895,110,"2,82%",Rio Branco-AC,29/05/2020,31/05/2020 - 11:05:22:74
5107,262,"5,13%",Maceió-AL,30/05/2020,31/05/2020 - 11:05:42:592
17492,1349,"7,71%",Manaus-AM,29/05/2020,31/05/2020 - 11:05:03:77
4992,127,"2,54%",Macapá-AP,30/05/2020,31/05/2020 - 11:05:21:91
10353,421,"4,07%",Salvador-BA,29/05/2020,31/05/2020 - 11:05:21:564
23378,1939,"8,29%",Fortaleza-CE,30/05/2020,31/05/2020 - 11:05:22:09
7877,142,"1,80%",Brasília-DF,29/05/2020,31/05/2020 - 11:05:22:821
2318,90,"3,88%",Vitória-ES,29/05/2020,31/05/2020 - 11:05:23:237
1556,49,"3,15%",Goiânia-GO,29/05/2020,31/05/2020 - 11:05:23:637
8882,521,"5,87%",São Luís-MA,29/05/2020,31/05/2020 - 11:05:24:30
1778,49,"2,76%",Belo Horizonte-MG,30/05/2020,31/05/2020 - 11:05:24:505
283,6,"2,12%",Campo Grande-MS,29/05/2020,31/05/2020 - 11:05:24:881
723,9,"1,24%",Cuiabá-MT,30/05/2020,31/05/2020 - 11:05:25:822
11509,1311,"11,39%",Belém-PA,29/05/2020,31/05/2020 - 11:05:26:216
3902,126,"3,23%",João Pessoa-PB,30/05/2020,31/05/2020 - 11:05:28:322
14832,1040,"7,01%",Recife-PE,30/05/2020,31/05/2020 - 11:05:28:727
2248,85,"3,78%",Teresina-PI,30/05/2020,31/05/2020 - 11:05:29:119
921,42,"4,56%",Curitiba-PR,29/05/2020,31/05/2020 - 11:05:29:700
27311,3430,"12,56%",Rio de Janeiro-RJ,29/05/2020,31/05/2020 - 11:05:30:83
2576,85,"3,30%",Natal-RN,28/05/2020,31/05/2020 - 11:05:30:490
3245,99,"3,05%",Porto Velho-RO,29/05/2020,31/05/2020 - 11:05:31:17
1996,73,"3,66%",Boa Vista-RR,25/05/2020,31/05/2020 - 11:05:31:407
644,7,"1,09%",Florianópolis-SC,29/05/2020,31/05/2020 - 11:05:31:811
3623,59,"1,63%",Aracaju-SE,28/05/2020,31/05/2020 - 11:05:32:192
58619,4239,"7,23%",São Paulo-SP,30/05/2020,31/05/2020 - 11:05:32:655
425,6,"1,41%",Palmas-TO,26/05/2020,31/05/2020 - 11:05:33:42
731,34,"4,65%",Porto Alegre-RS,30/05/2020,01/06/2020 - 11:06:01:848
4020,114,"2,84%",Rio Branco-AC,30/05/2020,01/06/2020 - 11:06:02:660
5107,262,"5,13%",Maceió-AL,30/05/2020,01/06/2020 - 11:06:04:376
17492,1349,"7,71%",Manaus-AM,29/05/2020,01/06/2020 - 11:06:05:06
4992,127,"2,54%",Macapá-AP,30/05/2020,01/06/2020 - 11:06:05:750
10724,443,"4,13%",Salvador-BA,30/05/2020,01/06/2020 - 11:06:06:498
23378,1939,"8,29%",Fortaleza-CE,30/05/2020,01/06/2020 - 11:06:07:207
7877,142,"1,80%",Brasília-DF,29/05/2020,01/06/2020 - 11:06:07:743
2318,90,"3,88%",Vitória-ES,29/05/2020,01/06/2020 - 11:06:08:291
1581,52,"3,29%",Goiânia-GO,30/05/2020,01/06/2020 - 11:06:08:940
9141,524,"5,73%",São Luís-MA,30/05/2020,01/06/2020 - 11:06:09:529
1778,49,"2,76%",Belo Horizonte-MG,30/05/2020,01/06/2020 - 11:06:10:440
283,6,"2,12%",Campo Grande-MS,29/05/2020,01/06/2020 - 11:06:10:975
723,9,"1,24%",Cuiabá-MT,30/05/2020,01/06/2020 - 11:06:11:447
11587,1320,"11,39%",Belém-PA,30/05/2020,01/06/2020 - 11:06:11:978
3902,126,"3,23%",João Pessoa-PB,30/05/2020,01/06/2020 - 11:06:12:542
14832,1040,"7,01%",Recife-PE,30/05/2020,01/06/2020 - 11:06:13:187
2248,85,"3,78%",Teresina-PI,30/05/2020,01/06/2020 - 11:06:13:768
921,42,"4,56%",Curitiba-PR,29/05/2020,01/06/2020 - 11:06:14:420
28481,3525,"12,38%",Rio de Janeiro-RJ,30/05/2020,01/06/2020 - 11:06:15:22
2576,85,"3,30%",Natal-RN,28/05/2020,01/06/2020 - 11:06:15:700
3361,105,"3,12%",Porto Velho-RO,30/05/2020,01/06/2020 - 11:06:16:224
1996,73,"3,66%",Boa Vista-RR,25/05/2020,01/06/2020 - 11:06:16:744
657,7,"1,07%",Florianópolis-SC,30/05/2020,01/06/2020 - 11:06:17:510
3944,68,"1,72%",Aracaju-SE,30/05/2020,01/06/2020 - 11:06:18:09
58619,4239,"7,23%",São Paulo-SP,30/05/2020,01/06/2020 - 11:06:18:664
578,7,"1,21%",Palmas-TO,30/05/2020,01/06/2020 - 11:06:19:217
744,37,"4,97%",Porto Alegre-RS,01/06/2020,02/06/2020 - 11:06:51:13
4104,116,"2,83%",Rio Branco-AC,31/05/2020,02/06/2020 - 11:06:51:463
6097,288,"4,72%",Maceió-AL,01/06/2020,02/06/2020 - 11:06:53:230
18293,1366,"7,47%",Manaus-AM,31/05/2020,02/06/2020 - 11:06:53:602
5079,136,"2,68%",Macapá-AP,01/06/2020,02/06/2020 - 11:06:53:994
11431,474,"4,15%",Salvador-BA,01/06/2020,02/06/2020 - 11:06:54:398
24104,2084,"8,65%",Fortaleza-CE,01/06/2020,02/06/2020 - 11:06:54:800
8807,157,"1,78%",Brasília-DF,31/05/2020,02/06/2020 - 11:06:55:151
2453,96,"3,91%",Vitória-ES,31/05/2020,02/06/2020 - 11:06:55:636
1730,53,"3,06%",Goiânia-GO,01/06/2020,02/06/2020 - 11:06:56:69
9255,526,"5,68%",São Luís-MA,31/05/2020,02/06/2020 - 11:06:56:733
1882,49,"2,60%",Belo Horizonte-MG,01/06/2020,02/06/2020 - 11:06:57:155
293,7,"2,39%",Campo Grande-MS,30/05/2020,02/06/2020 - 11:06:57:958
795,11,"1,38%",Cuiabá-MT,01/06/2020,02/06/2020 - 11:06:58:340
11885,1335,"11,23%",Belém-PA,01/06/2020,02/06/2020 - 11:06:58:692
3959,130,"3,28%",João Pessoa-PB,31/05/2020,02/06/2020 - 11:06:59:108
15474,1081,"6,99%",Recife-PE,01/06/2020,02/06/2020 - 11:06:59:725
2304,90,"3,91%",Teresina-PI,31/05/2020,02/06/2020 - 11:06:00:159
984,47,"4,78%",Curitiba-PR,31/05/2020,02/06/2020 - 11:06:00:885
29157,3578,"12,27%",Rio de Janeiro-RJ,31/05/2020,02/06/2020 - 11:06:01:336
2576,85,"3,30%",Natal-RN,28/05/2020,02/06/2020 - 11:06:01:965
3495,109,"3,12%",Porto Velho-RO,31/05/2020,02/06/2020 - 11:06:02:414
2615,96,"3,67%",Boa Vista-RR,30/05/2020,02/06/2020 - 11:06:02:807
687,7,"1,02%",Florianópolis-SC,01/06/2020,02/06/2020 - 11:06:03:226
4061,71,"1,75%",Aracaju-SE,31/05/2020,02/06/2020 - 11:06:03:628
61126,4304,"7,04%",São Paulo-SP,01/06/2020,02/06/2020 - 11:06:04:106
611,8,"1,31%",Palmas-TO,01/06/2020,02/06/2020 - 11:06:04:510
747,39,"5,22%",Porto Alegre-RS,02/06/2020,03/06/2020 - 11:06:01:850
4189,127,"3,03%",Rio Branco-AC,01/06/2020,03/06/2020 - 11:06:02:347
6325,301,"4,76%",Maceió-AL,02/06/2020,03/06/2020 - 11:06:03:854
18293,1366,"7,47%",Manaus-AM,31/05/2020,03/06/2020 - 11:06:04:189
5244,140,"2,67%",Macapá-AP,02/06/2020,03/06/2020 - 11:06:04:540
11431,474,"4,15%",Salvador-BA,01/06/2020,03/06/2020 - 11:06:04:972
24104,2084,"8,65%",Fortaleza-CE,01/06/2020,03/06/2020 - 11:06:05:424
9486,160,"1,69%",Brasília-DF,01/06/2020,03/06/2020 - 11:06:05:756
2453,96,"3,91%",Vitória-ES,31/05/2020,03/06/2020 - 11:06:06:102
1730,53,"3,06%",Goiânia-GO,01/06/2020,03/06/2020 - 11:06:06:535
